,date,predict
0,2017/3/2,1
1,2017/3/3,1
2,2017/3/6,1
3,2017/3/7,1
4,2017/3/8,1
5,2017/3/9,1
6,2017/3/10,2
7,2017/3/13,1
8,2017/3/14,1
9,2017/3/15,1
10,2017/3/16,1
11,2017/3/17,1
12,2017/3/20,1
13,2017/3/21,1
14,2017/3/22,1
15,2017/3/23,1
16,2017/3/24,1
17,2017/3/27,1
18,2017/3/28,1
19,2017/3/29,1
20,2017/3/30,1
21,2017/3/31,1
22,2017/4/5,1
23,2017/4/6,1
24,2017/4/7,1
25,2017/4/10,1
26,2017/4/11,1
27,2017/4/12,1
28,2017/4/13,1
29,2017/4/14,1
30,2017/4/17,1
31,2017/4/18,2
32,2017/4/19,2
33,2017/4/20,1
34,2017/4/21,1
35,2017/4/24,1
36,2017/4/25,1
37,2017/4/26,1
38,2017/4/27,1
39,2017/4/28,1
40,2017/5/2,1
41,2017/5/3,1
42,2017/5/4,1
43,2017/5/5,1
44,2017/5/8,1
45,2017/5/9,1
46,2017/5/10,1
47,2017/5/11,1
48,2017/5/12,1
49,2017/5/15,1
50,2017/5/16,1
51,2017/5/17,1
52,2017/5/18,1
53,2017/5/19,1
54,2017/5/22,1
55,2017/5/23,1
56,2017/5/24,1
57,2017/5/25,2
58,2017/5/26,2
59,2017/5/31,2
60,2017/6/1,1
61,2017/6/2,1
62,2017/6/5,1
63,2017/6/6,1
64,2017/6/7,1
65,2017/6/8,1
66,2017/6/9,1
67,2017/6/12,1
68,2017/6/13,1
69,2017/6/14,1
70,2017/6/15,1
71,2017/6/16,1
72,2017/6/19,0
73,2017/6/20,0
74,2017/6/21,0
75,2017/6/22,0
76,2017/6/23,2
77,2017/6/26,2
78,2017/6/27,2
79,2017/6/28,2
80,2017/6/29,1
81,2017/6/30,1
82,2017/7/3,1
83,2017/7/4,1
84,2017/7/5,1
85,2017/7/6,1
86,2017/7/7,1
87,2017/7/10,2
88,2017/7/11,2
89,2017/7/12,2
90,2017/7/13,2
91,2017/7/14,2
92,2017/7/17,2
93,2017/7/18,1
94,2017/7/19,1
95,2017/7/20,1
96,2017/7/21,1
97,2017/7/24,1
98,2017/7/25,1
99,2017/7/26,1
100,2017/7/27,1
101,2017/7/28,0
102,2017/7/31,1
103,2017/8/1,1
104,2017/8/2,1
105,2017/8/3,1
106,2017/8/4,1
107,2017/8/7,2
108,2017/8/8,2
109,2017/8/9,1
110,2017/8/10,1
111,2017/8/11,1
112,2017/8/14,1
113,2017/8/15,1
114,2017/8/16,1
115,2017/8/17,1
116,2017/8/18,1
117,2017/8/21,1
118,2017/8/22,1
119,2017/8/23,1
120,2017/8/24,1
121,2017/8/25,1
122,2017/8/28,1
123,2017/8/29,1
124,2017/8/30,1
125,2017/8/31,1
126,2017/9/1,1
127,2017/9/4,1
128,2017/9/5,1
129,2017/9/6,1
130,2017/9/7,1
131,2017/9/8,1
132,2017/9/11,1
133,2017/9/12,1
134,2017/9/13,1
135,2017/9/14,1
136,2017/9/15,1
137,2017/9/18,1
138,2017/9/19,1
139,2017/9/20,1
140,2017/9/21,1
141,2017/9/22,1
142,2017/9/25,2
143,2017/9/26,2
144,2017/9/27,2
145,2017/9/28,2
146,2017/9/29,2
147,2017/10/9,1
148,2017/10/10,1
149,2017/10/11,1
150,2017/10/12,1
151,2017/10/13,1
152,2017/10/16,1
153,2017/10/17,2
154,2017/10/18,2
155,2017/10/19,1
156,2017/10/20,1
157,2017/10/23,1
158,2017/10/24,1
159,2017/10/25,1
160,2017/10/26,1
161,2017/10/27,1
162,2017/10/30,1
163,2017/10/31,1
164,2017/11/1,1
165,2017/11/2,1
166,2017/11/3,1
167,2017/11/6,1
